experiment,service,p50_ms,p99_ms,mean_ms,sample_count,data_source
e1-baseline,auth,7.904,16.075,8.234,85108,Estimated from ghz histogram
e1-baseline,risk,9.88,20.094,10.293,85108,Estimated from ghz histogram
e1-baseline,marketdata,23.052,46.885,24.017,85108,Estimated from ghz histogram
e1-baseline,execution,11.855,24.112,12.352,85108,Estimated from ghz histogram
e1-baseline,gateway,52.691,107.167,54.896,85108,Estimated from ghz histogram
e13-cpu-pinning,auth,7.501,14.611,7.755,90271,Estimated from ghz histogram
e13-cpu-pinning,risk,9.376,18.264,9.694,90271,Estimated from ghz histogram
e13-cpu-pinning,marketdata,21.877,42.617,22.618,90271,Estimated from ghz histogram
e13-cpu-pinning,execution,11.251,21.917,11.632,90271,Estimated from ghz histogram
e13-cpu-pinning,gateway,50.006,97.41,51.699,90271,Estimated from ghz histogram
e15-full-isolation,auth,29.466,77.409,31.799,22267,Estimated from ghz histogram
e15-full-isolation,risk,36.832,96.762,39.748,22267,Estimated from ghz histogram
e15-full-isolation,marketdata,85.942,225.777,92.746,22267,Estimated from ghz histogram
e15-full-isolation,execution,44.199,116.114,47.698,22267,Estimated from ghz histogram
e15-full-isolation,gateway,196.439,516.062,211.992,22267,Estimated from ghz histogram
e3a-cfs-tight,auth,27.203,58.915,29.151,24536,Estimated from ghz histogram
e3a-cfs-tight,risk,34.004,73.644,36.439,24536,Estimated from ghz histogram
e3a-cfs-tight,marketdata,79.342,171.835,85.024,24536,Estimated from ghz histogram
e3a-cfs-tight,execution,40.805,88.372,43.727,24536,Estimated from ghz histogram
e3a-cfs-tight,gateway,181.353,392.766,194.341,24536,Estimated from ghz histogram
e7-full-stress,auth,43.988,95.351,45.667,15628,Estimated from ghz histogram
e7-full-stress,risk,54.986,119.189,57.084,15628,Estimated from ghz histogram
e7-full-stress,marketdata,128.3,278.107,133.196,15628,Estimated from ghz histogram
e7-full-stress,execution,65.983,143.026,68.501,15628,Estimated from ghz histogram
e7-full-stress,gateway,293.257,635.672,304.447,15628,Estimated from ghz histogram
